beatriz, sanjorge, 2013-12-18, 2, The Light of Truth, 1.txt,
barranco, sanjorge, 2013-12-18, 3, The Light of Truth, 1.txt,
barranco, beatriz, 2013-12-18, 1, The Light of Truth, 1.txt,
corrente, sanjorge, 2013-12-18, 3, The Light of Truth, 1.txt,
corrente, beatriz, 2013-12-18, 1, The Light of Truth, 1.txt,
corrente, barranco, 2013-12-18, 0, The Light of Truth, 1.txt,
orhan, sanjorge, 2013-12-18, 3, The Light of Truth, 1.txt,
orhan, beatriz, 2013-12-18, 1, The Light of Truth, 1.txt,
orhan, barranco, 2013-12-18, 0, The Light of Truth, 1.txt,
orhan, corrente, 2013-12-18, 0, The Light of Truth, 1.txt,
vasco, sanjorge, 2013-12-18, 3, The Light of Truth, 1.txt,
vasco, beatriz, 2013-12-18, 1, The Light of Truth, 1.txt,
vasco, barranco, 2013-12-18, 0, The Light of Truth, 1.txt,
vasco, corrente, 2013-12-18, 0, The Light of Truth, 1.txt,
vasco, orhan, 2013-12-18, 0, The Light of Truth, 1.txt,
orhan, sanjorge, 2014-01-20, 0, Tethys News, 122.txt,
vasco, sanjorge, 2014-01-20, 0, Tethys News, 122.txt,
vasco, orhan, 2014-01-20, 0, Tethys News, 122.txt,
corrente, barranco, 2014-01-20, 0, Athena Speaks, 138.txt,
orhan, barranco, 2014-01-20, 0, Athena Speaks, 138.txt,
orhan, corrente, 2014-01-20, 0, Athena Speaks, 138.txt,
vasco, barranco, 2014-01-20, 0, Athena Speaks, 138.txt,
vasco, corrente, 2014-01-20, 0, Athena Speaks, 138.txt,
vasco, orhan, 2014-01-20, 0, Athena Speaks, 138.txt,
beatriz, sanjorge, 2003-05-19, 2, The Light of Truth, 164.txt,
barranco, sanjorge, 2014-01-21, 0, International Times, 167.txt,
corrente, sanjorge, 2014-01-21, 0, International Times, 167.txt,
corrente, barranco, 2014-01-21, 0, International Times, 167.txt,
orhan, sanjorge, 2014-01-21, 0, International Times, 167.txt,
orhan, barranco, 2014-01-21, 0, International Times, 167.txt,
orhan, corrente, 2014-01-21, 0, International Times, 167.txt,
vasco, sanjorge, 2014-01-21, 0, International Times, 167.txt,
vasco, barranco, 2014-01-21, 0, International Times, 167.txt,
vasco, corrente, 2014-01-21, 0, International Times, 167.txt,
vasco, orhan, 2014-01-21, 0, International Times, 167.txt,
corrente, barranco, 2014-01-20, 0, Central Bulletin, 170.txt,
orhan, barranco, 2014-01-20, 0, Central Bulletin, 170.txt,
orhan, corrente, 2014-01-20, 0, Central Bulletin, 170.txt,
barranco, sanjorge, 2014-01-19, 0, Kronos Star, 174.txt,
corrente, sanjorge, 2014-01-19, 0, Kronos Star, 174.txt,
corrente, barranco, 2014-01-19, 0, Kronos Star, 174.txt,
orhan, sanjorge, 2014-01-19, 0, Kronos Star, 174.txt,
orhan, barranco, 2014-01-19, 0, Kronos Star, 174.txt,
orhan, corrente, 2014-01-19, 0, Kronos Star, 174.txt,
vasco, sanjorge, 2014-01-19, 0, Kronos Star, 174.txt,
vasco, barranco, 2014-01-19, 0, Kronos Star, 174.txt,
vasco, corrente, 2014-01-19, 0, Kronos Star, 174.txt,
vasco, orhan, 2014-01-19, 0, Kronos Star, 174.txt,
beatriz, sanjorge, 2013-12-18, 2, The General Post, 223.txt,
corrente, sanjorge, 2013-12-18, 3, The General Post, 223.txt,
corrente, beatriz, 2013-12-18, 1, The General Post, 223.txt,
orhan, sanjorge, 2013-12-18, 3, The General Post, 223.txt,
orhan, beatriz, 2013-12-18, 1, The General Post, 223.txt,
